age,revenus,situation_familiale,anciennete_emploi,duree_credit,montant_credit,taux_endettement,nombre_enfants,score_banque,historique_paiement,appetence_conso,appetence_immo,score_appetence,observations_forces,observations_faiblesses
38,39397,0,12,231,415632,0.34,4,683,1,,,0.43,Taux endettement Faible (0),Age Faible (38)
26,31249,1,4,162,35775,0.71,1,560,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (26)
56,6361,0,23,169,432296,0.1,3,466,1,,,0.44,Taux endettement Faible (0); Age Élevé (56),N/A
35,31149,1,3,76,211495,0.44,1,317,1,,,0.44,Taux endettement Faible (0),Age Faible (35)
21,9370,1,20,227,29374,0.5,4,546,0,,,0.41,Taux endettement Faible (0),Age Faible (21)
42,10283,0,14,131,330595,0.76,4,595,1,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (42)
31,12610,0,11,150,455815,0.29,3,713,0,,,0.41,Taux endettement Faible (0),Age Faible (31)
67,19924,1,18,181,354285,0.26,0,619,1,,,0.45,Taux endettement Faible (0); Age Élevé (67),N/A
26,15626,1,20,157,25684,0.3,0,853,1,,,0.4,Taux endettement Faible (0),Age Faible (26)
43,39761,1,18,187,34002,0.56,2,480,1,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (43)
19,5869,2,20,352,101551,0.88,3,595,0,,,0.52,N/A,Taux endettement Élevé (1); Age Faible (19)
37,36552,0,10,90,402848,0.83,2,360,0,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (37)
45,6014,2,20,126,426188,0.06,3,508,1,,,0.49,Taux endettement Faible (0); Age Élevé (45),N/A
64,15103,2,5,134,469369,0.88,4,465,1,,,0.48,Age Élevé (64),Taux endettement Élevé (1)
24,21986,0,8,11,449620,0.1,3,599,0,,,0.44,Taux endettement Faible (0),Age Faible (24)
61,35471,0,0,339,16309,0.42,1,650,0,,,0.47,Taux endettement Faible (0); Age Élevé (61),N/A
25,38458,2,11,188,356819,0.77,2,360,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (25)
64,30069,0,13,43,340470,0.08,3,562,1,,,0.39,Taux endettement Faible (0); Age Élevé (64),N/A
52,21873,1,5,121,17826,0.04,2,423,0,,,0.36,Taux endettement Faible (0); Age Élevé (52),N/A
31,28248,1,0,107,153206,0.33,3,537,0,,,0.41,Taux endettement Faible (0),Age Faible (31)
34,28624,2,21,13,160765,0.73,0,841,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (34)
53,34061,2,1,223,131840,0.52,2,389,0,,,0.55,Age Élevé (53),Taux endettement Élevé (1)
67,29170,0,23,212,145126,0.42,4,438,1,,,0.46,Taux endettement Faible (0); Age Élevé (67),N/A
57,13024,0,10,83,262816,0.81,4,661,0,,,0.51,Age Élevé (57),Taux endettement Élevé (1)
21,21678,2,2,60,157162,0.77,3,712,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (21)
19,25411,2,9,309,492560,0.79,4,392,1,,,0.42,N/A,Taux endettement Élevé (1); Age Faible (19)
23,24296,1,5,233,115985,0.46,4,433,0,,,0.39,Taux endettement Faible (0),Age Faible (23)
59,31293,1,5,93,287713,0.02,2,503,1,,,0.34,Taux endettement Faible (0); Age Élevé (59),N/A
21,32172,0,19,15,435443,0.17,3,337,0,,,0.4,Taux endettement Faible (0),Age Faible (21)
46,26128,1,20,313,16508,0.74,2,756,1,,,0.47,Age Élevé (46),Taux endettement Élevé (1)
35,23257,0,1,295,419824,0.75,3,833,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (35)
43,17855,0,23,169,99059,0.97,4,737,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (43)
61,24642,0,9,244,217041,0.19,3,523,1,,,0.46,Taux endettement Faible (0); Age Élevé (61),N/A
51,25025,1,22,322,107475,0.12,3,467,1,,,0.39,Taux endettement Faible (0); Age Élevé (51),N/A
27,9458,2,5,149,140447,0.14,1,406,1,,,0.45,Taux endettement Faible (0),Age Faible (27)
53,10307,2,22,340,402963,0.18,3,679,1,,,0.47,Taux endettement Faible (0); Age Élevé (53),N/A
31,23425,1,16,23,120648,0.53,1,323,1,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (31)
48,33273,2,13,76,34520,0.98,2,810,0,,,0.51,Age Élevé (48),Taux endettement Élevé (1)
65,10668,0,4,180,480640,0.59,1,606,1,,,0.51,Age Élevé (65),Taux endettement Élevé (1)
32,30934,2,22,347,303076,0.52,2,657,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (32)
25,12697,1,16,293,29734,0.67,3,669,1,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (25)
31,29417,2,1,304,341507,0.07,2,470,1,,,0.42,Taux endettement Faible (0),Age Faible (31)
40,21446,0,8,344,322699,0.82,4,880,0,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (40)
57,15751,0,11,253,259972,0.65,3,521,1,,,0.52,Age Élevé (57),Taux endettement Élevé (1)
38,12352,1,18,198,288401,0.17,1,742,0,,,0.45,Taux endettement Faible (0),Age Faible (38)
33,18516,1,21,330,173266,0.63,0,452,1,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (33)
62,28299,1,6,311,237926,0.6,3,675,0,,,0.49,Age Élevé (62),Taux endettement Élevé (1)
35,36957,0,8,273,157865,0.06,4,580,0,,,0.45,Taux endettement Faible (0),Age Faible (35)
64,33927,2,20,209,437900,0.27,2,518,0,,,0.47,Taux endettement Faible (0); Age Élevé (64),N/A
41,34493,2,15,346,365694,0.39,1,785,1,,,0.44,Taux endettement Faible (0),Age Faible (41)
43,31711,1,19,128,271894,0.24,1,809,0,,,0.44,Taux endettement Faible (0),Age Faible (43)
42,13003,2,10,63,325363,0.24,4,634,1,,,0.42,Taux endettement Faible (0),Age Faible (42)
62,36707,2,11,344,406075,0.57,4,709,1,,,0.5,Age Élevé (62),Taux endettement Élevé (1)
58,8278,1,14,206,311984,0.47,3,353,1,,,0.48,Taux endettement Faible (0); Age Élevé (58),N/A
46,12296,1,17,117,369536,0.67,0,374,0,,,0.5,Age Élevé (46),Taux endettement Élevé (1)
32,30398,0,18,133,331471,0.96,0,648,0,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (32)
62,18261,0,15,41,123827,0.66,2,692,1,,,0.48,Age Élevé (62),Taux endettement Élevé (1)
18,16173,0,14,239,44819,0.58,1,853,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (18)
42,35449,0,4,315,95621,0.85,3,456,1,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (42)
24,6637,2,10,52,476966,0.63,1,380,0,,,0.51,N/A,Taux endettement Élevé (1); Age Faible (24)
26,36781,2,14,120,111272,0.17,3,507,1,,,0.45,Taux endettement Faible (0),Age Faible (26)
41,18652,0,17,260,51704,0.31,4,385,1,,,0.41,Taux endettement Faible (0),Age Faible (41)
18,10103,0,12,228,469353,0.73,2,746,0,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (18)
61,30500,1,3,129,332523,0.74,4,476,0,,,0.49,Age Élevé (61),Taux endettement Élevé (1)
25,39800,2,16,165,165390,0.99,1,810,1,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (25)
41,23452,2,3,101,90987,0.63,2,438,0,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (41)
28,36174,0,15,112,467172,0.9,3,401,0,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (28)
68,20954,2,22,125,383705,0.05,3,772,0,,,0.36,Taux endettement Faible (0); Age Élevé (68),N/A
34,22186,1,14,106,277418,0.57,2,841,0,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (34)
25,17356,1,13,108,421442,0.92,4,493,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (25)
52,37963,2,11,171,446850,0.29,2,785,1,,,0.48,Taux endettement Faible (0); Age Élevé (52),N/A
52,7187,0,2,191,368606,0.15,4,613,0,,,0.51,Taux endettement Faible (0); Age Élevé (52),N/A
50,16707,2,9,37,467717,0.35,2,546,0,,,0.48,Taux endettement Faible (0); Age Élevé (50),N/A
22,31935,1,7,71,251744,0.79,4,737,0,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (22)
59,26225,0,5,184,291190,0.08,0,372,0,,,0.41,Taux endettement Faible (0); Age Élevé (59),N/A
56,8606,2,21,272,84210,0.6,2,368,1,,,0.5,Age Élevé (56),Taux endettement Élevé (1)
58,37828,0,13,42,128724,0.14,4,451,0,,,0.45,Taux endettement Faible (0); Age Élevé (58),N/A
45,31489,0,16,206,225631,0.44,1,393,1,,,0.45,Taux endettement Faible (0); Age Élevé (45),N/A
24,19387,1,20,54,425126,0.97,1,734,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (24)
26,8927,0,18,280,414719,0.2,2,730,1,,,0.5,Taux endettement Faible (0),Age Faible (26)
25,11296,2,15,173,58392,0.03,2,756,0,,,0.39,Taux endettement Faible (0),Age Faible (25)
29,35444,0,14,268,71472,0.43,3,729,0,,,0.42,Taux endettement Faible (0),Age Faible (29)
51,7591,0,14,138,253746,0.58,4,528,0,,,0.59,Age Élevé (51),Taux endettement Élevé (1)
50,31147,2,0,303,80904,0.3,2,329,0,,,0.45,Taux endettement Faible (0); Age Élevé (50),N/A
65,6200,1,23,349,361207,0.54,1,634,1,,,0.52,Age Élevé (65),Taux endettement Élevé (1)
40,20721,1,22,181,317479,0.95,1,868,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (40)
41,24238,2,22,16,32487,0.31,1,476,1,,,0.41,Taux endettement Faible (0),Age Faible (41)
54,16087,2,11,206,46593,0.31,4,867,1,,,0.47,Taux endettement Faible (0); Age Élevé (54),N/A
52,35816,1,9,302,85927,0.48,0,708,0,,,0.53,Taux endettement Faible (0); Age Élevé (52),N/A
61,28408,0,13,8,282018,0.52,2,536,1,,,0.51,Age Élevé (61),Taux endettement Élevé (1)
57,5136,2,9,219,326966,0.0,0,577,1,,,0.28,Taux endettement Faible (0); Age Élevé (57),N/A
39,22413,0,9,301,63948,0.62,4,376,0,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (39)
44,23978,2,19,312,13608,1.0,2,839,0,,,0.45,Age Élevé (44),Taux endettement Élevé (1)
52,5661,1,10,37,105987,0.29,3,457,0,,,0.57,Taux endettement Faible (0); Age Élevé (52),N/A
18,32253,0,21,53,115182,0.63,2,466,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (18)
52,31884,0,15,332,240394,0.0,2,484,0,,,0.3,Taux endettement Faible (0); Age Élevé (52),N/A
54,37854,2,8,257,457717,0.6,2,688,0,,,0.55,Age Élevé (54),Taux endettement Élevé (1)
64,15704,0,14,204,457128,0.45,2,311,0,,,0.5,Taux endettement Faible (0); Age Élevé (64),N/A
31,29527,2,13,94,37546,0.53,2,468,1,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (31)
20,21322,1,18,114,388143,0.54,4,725,1,,,0.4,N/A,Taux endettement Élevé (1); Age Faible (20)
18,11968,0,8,296,110804,0.18,2,748,0,,,0.36,Taux endettement Faible (0),Age Faible (18)
22,32518,2,3,113,471419,0.77,4,793,1,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (22)
43,32886,0,20,45,334640,0.56,2,748,1,,,0.49,N/A,Taux endettement Élevé (1); Age Faible (43)
31,6700,2,6,57,327330,0.27,2,405,1,,,0.51,Taux endettement Faible (0),Age Faible (31)
56,33246,2,21,117,183418,0.94,4,726,0,,,0.5,Age Élevé (56),Taux endettement Élevé (1)
44,28199,2,7,300,146302,0.01,2,397,1,,,0.31,Taux endettement Faible (0); Age Élevé (44),N/A
26,37115,1,23,73,35720,0.73,1,525,0,,,0.47,N/A,Taux endettement Élevé (1); Age Faible (26)
32,10520,0,7,194,315167,0.38,2,746,1,,,0.43,Taux endettement Faible (0),Age Faible (32)
32,25929,1,18,337,440818,0.52,3,775,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (32)
43,19955,2,14,214,77082,0.29,4,502,1,,,0.42,Taux endettement Faible (0),Age Faible (43)
59,18917,2,15,70,25050,0.32,2,596,1,,,0.46,Taux endettement Faible (0); Age Élevé (59),N/A
30,9757,1,21,67,385497,0.02,2,315,0,,,0.34,Taux endettement Faible (0),Age Faible (30)
68,18045,1,22,263,192387,0.73,4,677,1,,,0.43,Age Élevé (68),Taux endettement Élevé (1)
49,9733,0,8,139,324308,0.71,0,635,0,,,0.45,Age Élevé (49),Taux endettement Élevé (1)
56,35954,2,11,127,138470,0.65,1,319,0,,,0.51,Age Élevé (56),Taux endettement Élevé (1)
66,36135,1,15,336,302278,0.88,1,739,0,,,0.49,Age Élevé (66),Taux endettement Élevé (1)
69,12081,2,3,176,156712,0.9,2,543,1,,,0.47,Age Élevé (69),Taux endettement Élevé (1)
49,28501,2,4,215,489580,0.56,4,543,1,,,0.53,Age Élevé (49),Taux endettement Élevé (1)
21,26113,0,7,301,464887,0.68,3,691,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (21)
47,39441,0,0,94,24284,0.01,2,561,0,,,0.33,Taux endettement Faible (0); Age Élevé (47),N/A
54,29690,0,5,172,70526,0.85,1,519,0,,,0.52,Age Élevé (54),Taux endettement Élevé (1)
40,34345,1,14,33,406639,0.82,2,307,1,,,0.45,N/A,Taux endettement Élevé (1); Age Faible (40)
56,31829,2,3,243,38577,0.02,4,745,1,,,0.34,Taux endettement Faible (0); Age Élevé (56),N/A
62,8630,1,20,341,131867,0.54,3,313,0,,,0.5,Age Élevé (62),Taux endettement Élevé (1)
32,36870,1,10,68,271079,0.91,0,686,1,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (32)
60,8453,0,4,260,390391,0.18,3,321,1,,,0.52,Taux endettement Faible (0); Age Élevé (60),N/A
46,13328,2,17,46,331044,0.35,2,524,0,,,0.47,Taux endettement Faible (0); Age Élevé (46),N/A
53,20534,2,23,34,356750,0.33,1,534,0,,,0.47,Taux endettement Faible (0); Age Élevé (53),N/A
30,24744,0,14,284,471084,0.36,4,640,1,,,0.41,Taux endettement Faible (0),Age Faible (30)
49,24389,2,17,85,278210,0.04,2,433,0,,,0.35,Taux endettement Faible (0); Age Élevé (49),N/A
24,19665,0,19,56,224648,0.28,0,477,0,,,0.39,Taux endettement Faible (0),Age Faible (24)
68,13640,1,12,117,262539,0.29,4,855,1,,,0.43,Taux endettement Faible (0); Age Élevé (68),N/A
39,39716,1,4,306,376486,0.87,4,819,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (39)
45,30521,0,0,95,461104,0.35,4,838,0,,,0.44,Taux endettement Faible (0); Age Élevé (45),N/A
19,35049,1,21,234,18583,0.45,2,736,1,,,0.34,Taux endettement Faible (0),Age Faible (19)
59,10618,1,17,155,310201,0.38,0,350,0,,,0.47,Taux endettement Faible (0); Age Élevé (59),N/A
62,6920,0,13,248,163676,0.12,2,742,1,,,0.42,Taux endettement Faible (0); Age Élevé (62),N/A
23,9188,1,4,143,298708,0.99,4,880,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (23)
45,17207,2,5,140,333573,0.83,4,580,1,,,0.44,Age Élevé (45),Taux endettement Élevé (1)
45,5238,1,23,94,370744,0.54,1,343,1,,,0.57,Age Élevé (45),Taux endettement Élevé (1)
61,37972,0,24,20,98393,0.48,3,664,0,,,0.49,Taux endettement Faible (0); Age Élevé (61),N/A
61,15799,2,15,338,387918,0.65,2,568,0,,,0.5,Age Élevé (61),Taux endettement Élevé (1)
37,10552,2,21,179,38941,0.33,0,864,0,,,0.42,Taux endettement Faible (0),Age Faible (37)
47,33916,1,20,95,458727,0.05,4,592,1,,,0.42,Taux endettement Faible (0); Age Élevé (47),N/A
28,9927,2,11,218,310106,0.4,2,493,1,,,0.4,Taux endettement Faible (0),Age Faible (28)
45,32964,0,19,348,179645,0.98,3,670,0,,,0.46,Age Élevé (45),Taux endettement Élevé (1)
42,16164,2,17,66,393554,0.18,2,851,0,,,0.41,Taux endettement Faible (0),Age Faible (42)
56,24071,1,1,225,428908,0.53,3,377,1,,,0.51,Age Élevé (56),Taux endettement Élevé (1)
50,11160,1,22,66,68420,0.01,2,488,0,,,0.34,Taux endettement Faible (0); Age Élevé (50),N/A
18,20810,2,20,312,92415,0.12,1,689,1,,,0.38,Taux endettement Faible (0),Age Faible (18)
44,10126,0,22,171,176835,0.59,2,324,0,,,0.5,Age Élevé (44),Taux endettement Élevé (1)
69,35009,0,12,17,354157,0.3,1,601,0,,,0.45,Taux endettement Faible (0); Age Élevé (69),N/A
30,38584,1,16,221,186752,0.91,3,657,0,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (30)
58,30396,1,16,82,129012,0.41,4,393,1,,,0.47,Taux endettement Faible (0); Age Élevé (58),N/A
20,5192,0,15,237,147465,0.21,4,850,0,,,0.42,Taux endettement Faible (0),Age Faible (20)
56,17816,2,20,117,130198,0.55,2,635,1,,,0.51,Age Élevé (56),Taux endettement Élevé (1)
23,37130,2,17,71,43488,0.79,0,463,1,,,0.41,N/A,Taux endettement Élevé (1); Age Faible (23)
25,35698,2,7,187,162531,0.02,2,640,0,,,0.39,Taux endettement Faible (0),Age Faible (25)
44,15655,2,2,209,415770,0.51,1,866,0,,,0.49,Age Élevé (44),Taux endettement Élevé (1)
26,35075,0,16,211,178939,0.77,1,371,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (26)
54,14359,1,17,291,219176,0.1,3,341,0,,,0.39,Taux endettement Faible (0); Age Élevé (54),N/A
50,38272,1,22,110,112330,0.9,2,710,0,,,0.52,Age Élevé (50),Taux endettement Élevé (1)
68,19671,2,5,247,186087,0.26,3,320,1,,,0.43,Taux endettement Faible (0); Age Élevé (68),N/A
59,32048,0,7,240,277201,0.17,0,300,0,,,0.46,Taux endettement Faible (0); Age Élevé (59),N/A
61,15738,0,22,181,262570,0.59,4,871,1,,,0.51,Age Élevé (61),Taux endettement Élevé (1)
41,30963,2,12,216,93026,0.18,4,375,1,,,0.43,Taux endettement Faible (0),Age Faible (41)
32,11773,2,7,36,15305,0.68,2,697,1,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (32)
49,34894,2,18,240,333420,0.49,3,387,1,,,0.51,Taux endettement Faible (0); Age Élevé (49),N/A
49,5717,1,5,247,435956,0.11,3,893,1,,,0.47,Taux endettement Faible (0); Age Élevé (49),N/A
41,16676,2,22,158,251290,0.91,0,316,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (41)
58,9434,1,14,201,427334,0.67,3,628,1,,,0.48,Age Élevé (58),Taux endettement Élevé (1)
69,34100,0,9,274,409890,0.55,1,509,1,,,0.48,Age Élevé (69),Taux endettement Élevé (1)
66,9994,0,16,175,183403,0.37,1,682,0,,,0.48,Taux endettement Faible (0); Age Élevé (66),N/A
66,9234,1,0,328,100534,0.13,1,864,1,,,0.44,Taux endettement Faible (0); Age Élevé (66),N/A
69,8764,1,6,341,156388,0.71,2,445,1,,,0.45,Age Élevé (69),Taux endettement Élevé (1)
29,39872,1,12,237,157289,0.81,1,752,0,,,0.46,N/A,Taux endettement Élevé (1); Age Faible (29)
56,28185,1,2,189,470757,0.13,1,692,0,,,0.42,Taux endettement Faible (0); Age Élevé (56),N/A
19,16999,2,18,280,121045,0.49,4,609,0,,,0.35,Taux endettement Faible (0),Age Faible (19)
20,7581,0,14,37,417818,0.48,2,791,1,,,0.44,Taux endettement Faible (0),Age Faible (20)
66,7763,2,4,182,268554,0.35,1,729,1,,,0.53,Taux endettement Faible (0); Age Élevé (66),N/A
54,32374,1,10,70,359325,0.79,0,300,1,,,0.52,Age Élevé (54),Taux endettement Élevé (1)
66,15531,2,21,203,383051,0.1,1,340,0,,,0.37,Taux endettement Faible (0); Age Élevé (66),N/A
34,30307,2,17,32,23987,0.21,2,884,1,,,0.46,Taux endettement Faible (0),Age Faible (34)
66,35835,0,2,156,59915,0.0,3,511,1,,,0.26,Taux endettement Faible (0); Age Élevé (66),N/A
19,16064,2,5,308,23543,0.37,4,632,1,,,0.34,Taux endettement Faible (0),Age Faible (19)
19,16312,0,2,273,300088,0.29,4,745,0,,,0.33,Taux endettement Faible (0),Age Faible (19)
45,11476,1,4,90,199313,0.87,2,603,0,,,0.46,Age Élevé (45),Taux endettement Élevé (1)
40,29565,2,8,71,150216,0.75,1,854,0,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (40)
54,7382,1,18,138,381562,0.08,0,453,0,,,0.49,Taux endettement Faible (0); Age Élevé (54),N/A
49,27463,0,12,87,48459,0.74,1,822,1,,,0.5,Age Élevé (49),Taux endettement Élevé (1)
50,38402,1,5,324,180899,0.68,1,324,1,,,0.54,Age Élevé (50),Taux endettement Élevé (1)
18,31345,1,10,333,40741,0.28,0,324,1,,,0.35,Taux endettement Faible (0),Age Faible (18)
36,31946,0,20,103,211087,0.02,4,895,0,,,0.35,Taux endettement Faible (0),Age Faible (36)
19,19162,1,20,78,136077,0.12,1,405,1,,,0.36,Taux endettement Faible (0),Age Faible (19)
61,13397,1,13,332,472950,0.25,3,418,1,,,0.46,Taux endettement Faible (0); Age Élevé (61),N/A
43,27335,1,5,35,84627,0.82,3,407,1,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (43)
49,19394,2,5,130,259783,0.47,2,629,1,,,0.51,Taux endettement Faible (0); Age Élevé (49),N/A
23,32197,1,16,215,385516,0.92,2,479,0,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (23)
49,27010,0,10,277,341885,0.79,0,430,1,,,0.46,Age Élevé (49),Taux endettement Élevé (1)
21,29123,2,14,218,79177,0.29,0,467,0,,,0.36,Taux endettement Faible (0),Age Faible (21)
28,27387,2,8,138,13543,0.85,2,522,1,,,0.48,N/A,Taux endettement Élevé (1); Age Faible (28)
34,7890,0,20,162,146663,0.12,1,768,0,,,0.55,Taux endettement Faible (0),Age Faible (34)
55,32769,1,16,52,251209,0.04,4,577,0,,,0.36,Taux endettement Faible (0); Age Élevé (55),N/A
41,13026,2,23,27,498093,0.61,3,489,0,,,0.5,N/A,Taux endettement Élevé (1); Age Faible (41)
22,8306,2,6,88,328539,0.34,0,830,1,,,0.41,Taux endettement Faible (0),Age Faible (22)
69,38665,2,6,239,201506,0.33,2,825,0,,,0.45,Taux endettement Faible (0); Age Élevé (69),N/A
51,14277,1,20,65,301199,0.69,3,489,0,,,0.53,Age Élevé (51),Taux endettement Élevé (1)
23,19683,2,0,193,278260,0.85,0,517,1,,,0.44,N/A,Taux endettement Élevé (1); Age Faible (23)
39,5670,0,24,63,327629,0.32,0,598,1,,,0.56,Taux endettement Faible (0),Age Faible (39)
28,28675,1,24,264,469513,0.33,1,610,1,,,0.4,Taux endettement Faible (0),Age Faible (28)
65,22889,0,7,167,143479,0.53,0,535,1,,,0.51,Age Élevé (65),Taux endettement Élevé (1)
